cow,agent_x,thinkingwitharrows,artifact_one,the_gorge,the_forests,lightshard,superposition,malmgruve,hypotalamussimulator,brainbeam,noodle_striker,
7,2,4,5,5,6,4,7,6,8,9,11,
3,4,5,10,4,7,8,4,1,5,11,11,
2,10,5,4,2,7,,8,1,9,5,11,
1,11,3,6,6,11,8,7,5,11,11,12,
5,2,1,2,2,7,9,6,10,11,10,2,
2,,10,1,11,8,7,7,6,11,3,6,
1,3,4,7,5,7,8,9,5,12,10,10,
1,1,10,2,3,3,3,4,5,10,11,10,
3,2,2,2,,5,7,8,6,9,12,11,
4,2,3,4,8,5,8,7,9,12,10,12,
,2,3,8,7,9,6,9,9,9,11,10,
2,2,1,4,5,8,8,10,3,6,12,6,
4,6,1,1,2,3,7,5,12,7,11,9,
5,6,7,2,10,,8,4,7,7,9,12,
6,2,2,1,6,9,6,8,10,6,10,11,
3,3,1,4,4,4,6,8,10,8,11,12,
5,3,1,8,8,5,5,6,8,8,12,12,
6,12,1,1,8,1,7,6,10,9,12,10,
1,2,9,12,2,1,3,,3,8,9,5,
1,1,,9,6,11,6,4,11,,10,11,
2,3,7,9,1,12,7,5,,10,12,10,
4,9,6,3,9,3,11,9,5,9,9,12,
5,3,4,3,8,3,7,7,10,11,8,5,
6,3,2,1,4,4,5,3,4,10,12,10,
3,1,3,4,,6,7,3,3,8,4,9,
1,2,6,2,5,4,7,1,11,11,9,9,
1,1,8,7,4,5,5,12,12,7,8,9,
8,7,3,5,4,4,4,8,9,7,4,7,
10,2,3,6,2,1,6,8,9,10,10,11,
2,10,11,6,3,10,8,10,4,11,11,12,
2,1,2,1,5,12,9,9,9,1,11,8,
5,2,11,7,5,6,6,4,10,11,7,11